geo_dma,dma_code,lat,lon,tvHomes,popShare,population,income,density,median_age,college_completion_perc,dma_region
Birmingham (Ann and Tusc),630,33.5276,-86.7986,696380,0.607,491781411,55432.44,55432.44,42.05,25.01,Other Minor Markets
Ottumwa-Kirksville,631,41.0196,-92.4186,44690,0.039,11873639,55084.58,55084.58,42.18,24.65,Growing Sunbelt Cities
Paducah-Cape Girard-Harsbg,632,37.0711,-88.6435,369390,0.322,110883266,53372.12,53372.12,41.45,23.2,Rust Belt/Industrial Metros
Odessa-Midland,633,31.8831,-102.3407,163450,0.143,4303600,66689.47,66689.47,40.65,23.34,Other Minor Markets
Amarillo,634,35.1999,-101.8297,190240,0.166,3534306,58331.06,58331.06,41.71,23.17,West Coast Mid Cities
Austin,635,30.3038,-97.7545,771210,0.672,13959586,58475.97,58475.97,42.25,25.83,West Coast Mid Cities
Harlingen-Wslco-Brnsvl-McA,636,26.1914,-97.6977,368960,0.322,6147317,47664.39,47664.39,38.84,17.3,Southern Heartland Suburbs
Cedar Rapids-Wtrlo-IWC&Dub,637,41.9667,-91.6781,343000,0.299,53862793,58313.2,58313.2,41.81,25.8,West Coast Mid Cities
St. Joseph,638,39.7598,-94.821,44460,0.039,1060060,54499.11,54499.11,40.46,22.85,Rust Belt/Industrial Metros
"Jackson, TN",639,35.61452,-88.81395,89970,0.078,47354280,55030.85,55030.85,41.52,24.59,Growing Sunbelt Cities
Memphis,640,35.1047,-89.9773,633930,0.553,91543543,57104.31,57104.31,41.49,23.05,Growing Sunbelt Cities
San Antonio,641,29.4722,-98.5247,938660,0.818,4662419,60938.26,60938.26,39.29,26.32,College Towns/Youthful Areas
"Lafayette, LA",642,30.22409,-92.01984,233790,0.204,7561614,52008.65,52008.65,40.84,20.81,Southern Heartland Suburbs
Lake Charles,643,30.203,-93.215,95740,0.083,638342,50686.88,50686.88,39.86,21.34,Southern Heartland Suburbs
"Alexandria, LA",644,31.31129,-92.44514,85560,0.075,5082336,54031.42,54031.42,42.44,22.04,Other Minor Markets
Greenwood-Greenville,647,39.6019,-86.1073,62690,0.055,42031261,60426.66,60426.66,42.4,26.75,West Coast Mid Cities
Champaign&Sprngfld-Decatur,648,40.1148,-88.2731,364050,0.317,18489682,56880.9,56880.9,41.57,23.91,Growing Sunbelt Cities
Evansville,649,37.9882,-87.5339,279860,0.244,16544964,51586.39,51586.39,41.92,19.91,Southern Heartland Suburbs
Oklahoma City,650,35.4677,-97.5138,722140,0.63,32319542,55098.69,55098.69,43.27,22.6,Other Minor Markets
